City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sorong,ID,-0.8833,131.25,79.03,84,100,1.03,overcast clouds
1,Kaitangata,NZ,-46.2817,169.8464,64.99,76,42,1.99,scattered clouds
2,Cape Town,ZA,-33.9258,18.4232,66.99,77,0,1.14,clear sky
3,Huarmey,PE,-10.0681,-78.1522,71.02,82,94,8.63,overcast clouds
4,Victoria,HK,22.2855,114.1577,78.01,87,26,7.09,scattered clouds
5,Hilo,US,19.7297,-155.09,73.4,73,90,9.13,moderate rain
6,East London,ZA,-33.0153,27.9116,65.16,78,100,13.49,overcast clouds
7,Nago,JP,26.5881,127.9761,73.4,94,75,5.75,mist
8,Rikitea,PF,-23.1203,-134.9692,79.3,74,2,15.55,clear sky
9,Codrington,AU,-38.2667,141.9667,61.9,61,90,5.59,overcast clouds
10,Lanzhou,CN,36.0564,103.7922,48.0,27,35,1.05,scattered clouds
11,Asau,RO,46.4333,26.4,37.99,42,93,4.92,overcast clouds
12,Lompoc,US,34.6391,-120.4579,66.99,72,0,13.8,clear sky
13,Puerto Ayora,EC,-0.7393,-90.3518,79.0,91,33,4.0,scattered clouds
14,Vanimo,PG,-2.6741,141.3028,83.93,67,99,3.71,overcast clouds
15,Busselton,AU,-33.65,115.3333,67.5,55,10,5.66,clear sky
16,Bayir,TR,37.2687,28.2167,41.0,93,0,4.61,clear sky
17,Bandarbeyla,SO,9.4942,50.8122,76.12,72,24,3.87,few clouds
18,Albany,US,42.6001,-73.9662,52.0,80,100,17.0,light rain
19,Tarauaca,BR,-8.1614,-70.7656,73.9,96,90,2.17,overcast clouds
20,Upernavik,GL,72.7868,-56.1549,-24.74,78,23,4.83,few clouds
21,Yellowknife,CA,62.456,-114.3525,24.8,46,75,20.71,broken clouds
22,Ishigaki,JP,24.3448,124.1572,77.0,100,75,3.44,broken clouds
23,Ponta Do Sol,PT,32.6667,-17.1,61.0,53,71,8.01,broken clouds
24,Mataura,NZ,-46.1927,168.8643,62.01,89,33,11.99,scattered clouds
25,Mitsamiouli,KM,-11.3847,43.2844,82.53,70,64,5.73,broken clouds
26,New Norfolk,AU,-42.7826,147.0587,57.99,58,73,1.01,broken clouds
27,Nhulunbuy,AU,-12.2333,136.7667,82.4,83,75,5.75,moderate rain
28,Maceio,BR,-9.6658,-35.7353,77.0,94,90,5.75,overcast clouds
29,Atuona,PF,-9.8,-139.0333,80.96,75,91,16.53,overcast clouds
30,Provideniya,RU,64.3833,-173.3,15.67,88,100,21.85,light snow
31,Thompson,CA,55.7435,-97.8558,26.6,59,90,6.91,snow
32,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,100,13.8,overcast clouds
33,Bluff,NZ,-46.6,168.3333,62.01,89,76,11.99,broken clouds
34,Zapolyarnyy,RU,69.4154,30.8136,30.2,86,98,10.36,overcast clouds
35,Swan Hill,AU,-35.3378,143.5544,66.74,51,0,7.81,clear sky
36,Bilma,NE,18.6853,12.9164,69.55,15,0,4.92,clear sky
37,Balkhash,KZ,46.844,74.9804,30.79,81,33,7.45,scattered clouds
38,Roebourne,AU,-20.7833,117.1333,89.76,42,65,9.35,broken clouds
39,Ushuaia,AR,-54.8,-68.3,46.4,57,75,11.5,broken clouds
40,Sinegorskiy,RU,48.0139,40.8447,34.36,84,67,3.74,light snow
41,Narsaq,GL,60.9167,-46.05,19.4,53,0,4.61,clear sky
42,Mahebourg,MU,-20.4081,57.7,75.2,88,20,5.75,few clouds
43,Barrow,US,71.2906,-156.7887,-11.2,64,1,13.8,clear sky
44,Jamestown,US,42.097,-79.2353,39.0,93,90,21.54,mist
45,Nuuk,GL,64.1835,-51.7216,8.6,61,20,11.5,few clouds
46,Faanui,PF,-16.4833,-151.75,82.76,72,45,20.07,scattered clouds
47,Geraldton,AU,-28.7667,114.6,69.8,73,12,5.75,few clouds
48,Luderitz,NA,-26.6481,15.1594,61.29,85,0,4.92,clear sky
49,Sabha,LY,27.0377,14.4283,58.28,27,7,12.77,clear sky
50,Butaritari,KI,3.0707,172.7902,81.01,79,81,14.14,light rain
51,Lebu,CL,-37.6167,-73.65,55.99,93,2,11.83,clear sky
