City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sorong,ID,79.03,overcast clouds,-0.8833,131.25,The Waigo Hotel
4,Victoria,HK,78.01,scattered clouds,22.2855,114.1577,Mini Hotel Central
8,Rikitea,PF,79.3,clear sky,-23.1203,-134.9692,Pension Maro'i
13,Puerto Ayora,EC,79.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Vanimo,PG,83.93,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
17,Bandarbeyla,SO,76.12,few clouds,9.4942,50.8122,JABIR HOTEL
22,Ishigaki,JP,77.0,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
25,Mitsamiouli,KM,82.53,broken clouds,-11.3847,43.2844,Foyer ADM
27,Nhulunbuy,AU,82.4,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
28,Maceio,BR,77.0,overcast clouds,-9.6658,-35.7353,Poutur Pousada
29,Atuona,PF,80.96,overcast clouds,-9.8,-139.0333,Villa Enata
38,Roebourne,AU,89.76,broken clouds,-20.7833,117.1333,Harding River Caravan Park
42,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Faanui,PF,82.76,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Butaritari,KI,81.01,light rain,3.0707,172.7902,Isles Sunset Lodge
57,Bambous Virieux,MU,75.99,few clouds,-20.3428,57.7575,Casa Tia Villa
58,Rio Brilhante,BR,78.37,broken clouds,-21.8019,-54.5464,Hotel Cattani
59,Kapaa,US,77.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
60,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
62,Vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
64,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
65,Hithadhoo,MV,78.85,moderate rain,-0.6,73.0833,Scoop Guest House
66,Bengkulu,ID,76.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Saint George,US,75.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
82,Dingle,PH,81.3,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
83,Saint-Philippe,RE,75.2,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
87,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
90,Vila Velha,BR,75.99,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
99,Georgetown,MY,80.01,light rain,5.4112,100.3354,Cititel Penang
106,Tual,ID,81.32,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
111,Kupang,ID,77.0,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
113,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
115,Samarai,PG,84.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
116,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Taloa Heights
128,Bundaberg,AU,81.0,overcast clouds,-24.85,152.35,Takalvan Motel
131,Hambantota,LK,76.41,overcast clouds,6.1241,81.1185,Bungalow 63
135,Arraial Do Cabo,BR,77.81,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
141,Karratha,AU,89.91,broken clouds,-20.7377,116.8463,ibis Styles Karratha
143,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
147,El Tigre,VE,81.1,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
148,Pokaran,IN,78.49,scattered clouds,26.9167,71.9167,Motel Pokaran - RTDC
153,Kaohsiung,TW,78.01,few clouds,22.6163,120.3133,Kindness Hotel
161,Quatre Cocos,MU,75.99,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
165,Pochutla,MX,87.8,clear sky,15.7432,-96.4661,Hotel Posada San Jose
166,Port Hedland,AU,84.2,few clouds,-20.3167,118.5667,The Esplanade Hotel
169,Gladstone,AU,82.4,scattered clouds,-23.85,151.25,Highpoint International
170,Sao Sebastiao,BR,77.2,light rain,-23.76,-45.4097,Hotel Recanto dos Pássaros
173,Matamoros,MX,75.2,dust,25.5333,-103.25,Quinta Belem
180,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
185,Quelimane,MZ,78.01,light intensity drizzle,-17.8786,36.8883,Hotel Flamingo
190,Jimeta,NG,81.84,clear sky,9.2833,12.4667,Yola International Hotel
191,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
194,Ambon,ID,80.6,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
196,Kiunga,PG,75.61,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
200,Port Blair,IN,80.06,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
202,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
209,Kudahuvadhoo,MV,79.72,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
211,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
217,Mazagao,BR,82.4,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
219,Orocue,CO,79.38,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
220,Marrakesh,MA,75.2,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
228,Morro Bay,US,79.0,clear sky,35.3658,-120.8499,Inn at Morro Bay
231,Mazatlan,MX,77.0,broken clouds,23.2167,-106.4167,Hotel Club Playamar
234,Sola,VU,84.2,overcast clouds,-13.8833,167.55,Leumerus Bungalows
237,Kavieng,PG,85.68,light rain,-2.5744,150.7967,Nusa Island Retreat
239,Sur,OM,82.74,broken clouds,22.5667,59.5289,Sur Plaza Hotel
241,Lorengau,PG,83.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
242,Port-Gentil,GA,75.2,moderate rain,-0.7193,8.7815,Fengshui Residence
248,Merauke,ID,78.19,overcast clouds,-8.4667,140.3333,PC
