City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Corralillo,CU,22.9819,-80.5856,75.9,76,29,8.86,scattered clouds
1,Jamestown,US,42.097,-79.2353,25.0,68,90,11.5,light snow
2,Busselton,AU,-33.65,115.3333,70.0,80,21,4.0,few clouds
3,Pitimbu,BR,-7.4706,-34.8086,78.8,89,20,4.61,few clouds
4,Atuona,PF,-9.8,-139.0333,81.12,77,64,13.82,broken clouds
5,Padang,ID,-0.9492,100.3543,84.2,70,40,9.22,scattered clouds
6,Castro,BR,-24.7911,-50.0119,52.43,93,0,6.35,clear sky
7,East London,ZA,-33.0153,27.9116,66.43,89,71,6.87,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,72.1,89,100,4.59,moderate rain
9,Yumen,CN,40.2833,97.2,41.72,18,31,21.39,scattered clouds
10,Bluff,NZ,-46.6,168.3333,57.99,61,14,17.0,few clouds
11,Ibra,OM,22.6906,58.5334,72.36,29,32,2.08,scattered clouds
12,Ponta Do Sol,PT,32.6667,-17.1,57.99,71,3,3.0,clear sky
13,Guerrero Negro,MX,27.9769,-114.0611,61.23,78,6,15.57,clear sky
14,Cherskiy,RU,68.75,161.3,2.5,80,6,5.95,clear sky
15,Cape Town,ZA,-33.9258,18.4232,63.0,82,0,6.91,clear sky
16,Hilo,US,19.7297,-155.09,78.8,61,75,12.66,heavy intensity rain
17,Bambous Virieux,MU,-20.3428,57.7575,75.2,100,75,1.14,light rain
18,Hasaki,JP,35.7333,140.8333,69.01,63,75,11.5,broken clouds
19,Mount Gambier,AU,-37.8333,140.7667,87.8,20,0,12.66,clear sky
20,San Patricio,US,28.017,-97.5169,61.0,55,75,9.22,broken clouds
21,Manzanillo,CU,20.3433,-77.1167,76.96,75,38,3.62,scattered clouds
22,Zabid,YE,14.1951,43.3152,77.18,77,3,5.46,clear sky
23,Mataura,NZ,-46.1927,168.8643,57.99,61,9,17.0,clear sky
24,Yuncheng,CN,35.0231,110.9928,48.7,82,100,2.8,light rain
25,Kapaa,US,22.0752,-159.319,78.8,65,75,18.41,broken clouds
26,Tiksi,RU,71.6872,128.8694,-11.25,98,100,9.1,overcast clouds
27,Lac-Megantic,CA,45.5834,-70.8823,19.99,85,100,10.0,light snow
28,Kutum,SD,14.2,24.6667,65.73,17,19,7.65,few clouds
29,Dikson,RU,73.5069,80.5464,-7.42,79,100,7.47,overcast clouds
30,Cagliari,IT,39.245,9.0912,50.0,93,0,4.61,clear sky
31,Paramonga,PE,-10.6667,-77.8333,69.62,84,17,8.08,few clouds
32,Sal Rei,CV,16.1833,-22.9167,68.0,88,75,14.97,broken clouds
33,Takoradi,GH,4.8845,-1.7554,79.38,87,9,7.18,clear sky
34,Punta Arenas,CL,-53.15,-70.9167,46.4,87,0,8.05,clear sky
35,Georgetown,MY,5.4112,100.3354,88.0,70,20,5.75,few clouds
36,Ushuaia,AR,-54.8,-68.3,48.2,71,20,5.75,few clouds
37,Nacala,MZ,-14.5428,40.6728,70.27,85,11,7.76,few clouds
38,Ribeira Grande,PT,38.5167,-28.7,60.39,81,99,25.84,overcast clouds
39,Nikolskoye,RU,59.7035,30.7861,35.01,80,0,2.24,clear sky
40,New Norfolk,AU,-42.7826,147.0587,69.01,45,98,1.01,overcast clouds
41,Port Alfred,ZA,-33.5906,26.891,67.03,90,100,7.63,overcast clouds
42,Lekoni,GA,-1.5843,14.2591,74.43,81,75,2.13,broken clouds
43,Bandarbeyla,SO,9.4942,50.8122,75.36,72,0,4.97,clear sky
44,Bredasdorp,ZA,-34.5322,20.0403,60.8,82,100,3.27,overcast clouds
45,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,90,10.36,overcast clouds
46,Victoria,HK,22.2855,114.1577,86.0,62,40,4.61,scattered clouds
47,Tessalit,ML,20.1986,1.0114,76.06,10,3,9.95,clear sky
48,Torbay,CA,47.6666,-52.7314,34.0,69,20,5.75,few clouds
49,Chokurdakh,RU,70.6333,147.9167,4.57,85,100,3.02,overcast clouds
50,Butaritari,KI,3.0707,172.7902,82.2,77,100,11.52,light rain
51,Villefranche-Sur-Saone,FR,45.9833,4.7167,53.01,71,75,1.9,broken clouds
52,Albany,US,42.6001,-73.9662,33.01,56,57,10.96,broken clouds
53,Husavik,IS,66.0449,-17.3389,41.0,60,0,21.85,clear sky
54,Mahebourg,MU,-20.4081,57.7,75.2,100,75,1.14,light rain
55,Kaitangata,NZ,-46.2817,169.8464,57.0,54,7,14.0,clear sky
56,Itoman,JP,26.1247,127.6694,77.0,83,75,14.97,broken clouds
57,Hobart,AU,-42.8794,147.3294,69.01,59,75,3.44,broken clouds
58,Copiapo,CL,-27.3667,-70.3333,57.2,88,0,0.25,clear sky
59,Kruisfontein,ZA,-34.0033,24.7314,62.01,80,99,1.01,overcast clouds
60,Klaksvik,FO,62.2266,-6.589,37.4,93,40,1.14,scattered clouds
61,Norman Wells,CA,65.282,-126.8329,5.0,72,90,14.97,snow
62,Shelburne,CA,44.0787,-80.2041,28.99,53,5,14.72,clear sky
63,Sitka,US,57.0531,-135.33,35.6,75,90,9.22,light snow
64,Udachnyy,RU,66.4167,112.4,-11.65,88,98,13.33,overcast clouds
65,Port-Gentil,GA,-0.7193,8.7815,80.01,83,100,9.46,overcast clouds
66,Uvat,RU,59.1433,68.8953,33.12,96,100,7.94,overcast clouds
67,Mach,PK,29.8637,67.3298,65.61,22,0,14.67,clear sky
68,Matagami,CA,49.7502,-77.6328,14.0,62,1,10.36,clear sky
69,Cockburn Town,TC,21.4612,-71.1419,77.59,72,47,19.71,scattered clouds
70,Geraldton,AU,-28.7667,114.6,82.4,69,40,8.05,scattered clouds
71,Mar Del Plata,AR,-38.0023,-57.5575,66.0,72,20,8.05,few clouds
72,Carnarvon,AU,-24.8667,113.6333,86.0,66,2,4.61,clear sky
73,Longyearbyen,SJ,78.2186,15.6401,26.6,80,75,4.61,broken clouds
74,Qandala,SO,11.472,49.8728,80.13,51,23,1.34,few clouds
75,Marsabit,KE,2.3284,37.9899,66.94,80,35,20.85,scattered clouds
76,Avarua,CK,-21.2078,-159.775,84.2,70,40,13.8,scattered clouds
77,Touros,BR,-5.1989,-35.4608,77.0,88,40,5.75,scattered clouds
78,Vrangel,RU,42.7297,133.0839,42.8,62,100,6.58,overcast clouds
79,Esperance,AU,-33.8667,121.9,95.0,10,0,25.32,clear sky
80,Saint George,US,37.1041,-113.5841,72.0,13,1,4.61,clear sky
81,Palmer,US,42.1584,-72.3287,36.0,55,75,8.05,broken clouds
82,Dzhebariki-Khaya,RU,62.2167,135.8,26.4,85,100,3.04,overcast clouds
83,Fort Smith,US,35.3859,-94.3986,51.8,30,1,3.44,clear sky
84,Kodiak,US,57.79,-152.4072,28.4,43,1,31.07,clear sky
85,Port Elizabeth,ZA,-33.918,25.5701,62.6,82,90,5.75,overcast clouds
86,Along,IN,28.1667,94.7667,66.36,73,45,1.36,scattered clouds
87,Clyde River,CA,70.4692,-68.5914,-25.6,75,1,10.36,clear sky
88,Axim,GH,4.8699,-2.2405,78.76,88,8,7.09,clear sky
89,Sovetskiy,RU,61.3614,63.5842,26.08,96,100,5.55,overcast clouds
90,Helong,CN,42.5397,128.9972,59.13,36,100,3.42,overcast clouds
91,Lavrentiya,RU,65.5833,-171.0,6.93,91,100,5.44,overcast clouds
92,El Tigre,VE,8.8875,-64.2454,76.95,65,91,14.32,overcast clouds
93,Loandjili,CG,-4.7561,11.8578,78.8,94,20,4.61,light rain
94,Caravelas,BR,-17.7125,-39.2481,73.4,96,42,3.78,scattered clouds
95,Ust-Shonosha,RU,61.1531,41.343,31.17,96,100,4.79,overcast clouds
96,Severo-Kurilsk,RU,50.6789,156.125,31.37,92,82,15.37,light snow
97,Barrow,US,71.2906,-156.7887,-5.8,77,1,1.88,clear sky
98,Flinders,AU,-34.5833,150.8552,78.01,64,18,5.01,few clouds
99,Bima,ID,-8.4667,118.7167,83.16,80,84,3.24,moderate rain
100,Talavera,PH,15.6167,120.9333,87.8,55,40,4.61,scattered clouds
101,Basco,PH,20.4487,121.9702,80.49,76,16,13.04,few clouds
102,Fortuna Foothills,US,32.6578,-114.4119,87.01,8,1,6.91,clear sky
103,Puerto Ayora,EC,-0.7393,-90.3518,77.0,96,62,1.01,broken clouds
104,Port Hedland,AU,-20.3167,118.5667,95.0,18,2,14.97,clear sky
105,Kahului,US,20.8947,-156.47,78.8,61,40,18.41,scattered clouds
106,Copperas Cove,US,31.1241,-97.9031,57.2,33,1,6.91,clear sky
107,Frederick,US,39.4668,-77.3997,35.6,64,90,12.66,overcast clouds
108,Lompoc,US,34.6391,-120.4579,68.0,34,0,3.44,clear sky
109,Kieta,PG,-6.2167,155.6333,86.11,67,23,5.77,few clouds
110,Tambun,ID,-6.2641,107.0712,86.0,70,20,5.75,haze
111,Nuuk,GL,64.1835,-51.7216,20.93,95,100,13.31,snow
112,Avera,US,33.194,-82.5271,45.0,42,1,5.75,clear sky
113,Boende,CD,-0.2167,20.8667,69.24,99,100,2.37,light rain
114,Khatanga,RU,71.9667,102.5,-19.88,94,36,4.45,scattered clouds
115,San Quintin,MX,30.4833,-115.95,61.34,79,0,9.13,clear sky
116,Yulara,AU,-25.2406,130.9889,86.0,21,0,14.97,clear sky
117,Faanui,PF,-16.4833,-151.75,82.63,68,100,8.14,overcast clouds
118,Syracuse,IT,37.0881,15.2792,54.0,87,0,8.05,clear sky
119,Panama City,PA,8.9936,-79.5197,80.6,78,75,5.75,broken clouds
120,Saskylakh,RU,71.9167,114.0833,-26.34,99,100,5.68,overcast clouds
121,Ostrovnoy,RU,68.0531,39.5131,27.79,95,100,8.43,light snow
122,Sur,OM,22.5667,59.5289,82.02,32,14,5.14,few clouds
123,Vzmorye,RU,54.6961,20.2361,35.01,93,0,4.47,clear sky
124,Constitucion,CL,-35.3333,-72.4167,54.91,89,69,9.1,broken clouds
125,Gangakher,IN,18.95,76.75,81.01,32,7,9.93,clear sky
126,Merrill,US,45.1805,-89.6835,30.2,51,1,3.09,clear sky
127,Hjelset,NO,62.7833,7.4833,39.2,81,75,12.66,broken clouds
128,Jiuquan,CN,39.7432,98.5174,42.73,35,100,12.3,overcast clouds
129,Tyukalinsk,RU,55.8732,72.1967,30.43,93,100,15.52,overcast clouds
130,High River,CA,50.5834,-113.8687,48.99,41,100,11.99,overcast clouds
131,Port Hardy,CA,50.6996,-127.4199,44.6,65,75,2.3,broken clouds
132,Marsh Harbour,BS,26.5412,-77.0636,74.03,79,29,19.01,scattered clouds
133,Trogir,HR,43.5125,16.2517,53.6,76,0,3.44,clear sky
134,Yerbogachen,RU,61.2767,108.0108,8.83,86,100,2.95,overcast clouds
135,Kudahuvadhoo,MV,2.6708,72.8944,83.16,76,18,15.12,few clouds
136,Aloleng,PH,16.1307,119.7824,85.17,55,76,5.82,broken clouds
137,Bayangol,RU,50.6977,103.4656,28.67,64,100,1.81,overcast clouds
138,Tshane,BW,-24.0196,21.8684,70.02,41,100,6.26,overcast clouds
139,Cidreira,BR,-30.1811,-50.2056,69.76,62,24,10.78,few clouds
140,Bingerville,CI,5.3584,-3.8869,84.2,84,8,6.91,clear sky
141,Baoma,CN,31.4859,106.1128,51.49,91,100,7.31,overcast clouds
142,Praia Da Vitoria,PT,38.7333,-27.0667,60.01,82,20,15.46,few clouds
143,Launceston,AU,-41.45,147.1667,68.0,64,90,14.97,overcast clouds
144,Montmagny,FR,48.9734,2.3469,48.99,76,0,11.5,clear sky
145,Puerto Colombia,CO,10.9878,-74.9547,78.8,83,40,14.97,scattered clouds
146,Rawson,AR,-43.3002,-65.1023,61.52,76,10,16.44,clear sky
147,Niquelandia,BR,-14.4739,-48.4597,71.89,80,100,1.41,overcast clouds
148,Cayenne,GF,4.9333,-52.3333,80.01,83,75,4.61,broken clouds
149,Thompson,CA,55.7435,-97.8558,39.2,52,90,2.3,overcast clouds
150,Tocopilla,CL,-22.092,-70.1979,68.94,70,13,10.02,few clouds
151,Codrington,AU,-38.2667,141.9667,84.09,25,5,6.6,clear sky
152,Burnie,AU,-41.0667,145.9167,66.61,76,99,6.35,overcast clouds
153,Portland,US,45.5234,-122.6762,62.6,42,75,10.36,broken clouds
154,Bilma,NE,18.6853,12.9164,69.64,14,0,17.58,clear sky
155,Sioux Lookout,CA,50.1001,-91.917,33.8,37,40,8.05,scattered clouds
156,Hofn,IS,64.2539,-15.2082,41.79,66,2,6.71,clear sky
157,Lasem,ID,-6.6922,111.4527,80.22,80,100,6.35,overcast clouds
158,Buraydah,SA,26.326,43.975,73.4,49,75,4.61,light rain
159,Nadym,RU,65.5333,72.5167,23.7,99,98,6.62,overcast clouds
160,Pisco,PE,-13.7,-76.2167,69.8,73,0,10.36,clear sky
161,Gigmoto,PH,13.7796,124.39,84.4,63,20,11.83,few clouds
162,Amapa,BR,1.0,-52.0,70.41,99,100,2.06,overcast clouds
163,Saint Anthony,US,45.0205,-93.218,39.99,32,1,5.75,clear sky
164,Taoudenni,ML,22.6783,-3.9836,82.29,10,39,8.1,scattered clouds
165,Yellowknife,CA,62.456,-114.3525,17.01,86,90,10.36,light snow
166,Valledupar,CO,10.4631,-73.2532,81.18,63,100,9.42,overcast clouds
167,Katsuura,JP,35.1333,140.3,69.01,63,40,9.22,scattered clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,80.6,28,40,8.05,scattered clouds
169,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,72,0,9.22,clear sky
170,Dunedin,NZ,-45.8742,170.5036,59.0,62,27,5.99,scattered clouds
171,Tuatapere,NZ,-46.1333,167.6833,57.99,61,11,17.0,few clouds
172,Amot,NO,59.5714,7.9877,33.01,82,12,1.01,few clouds
173,Hermanus,ZA,-34.4187,19.2345,61.0,83,100,8.32,overcast clouds
174,Matane,CA,48.8286,-67.522,24.01,4,100,12.97,snow
175,Ghanzi,BW,-21.5667,21.7833,67.08,43,67,4.41,broken clouds
176,Nemuro,JP,43.3236,145.575,53.6,37,20,6.91,few clouds
177,Kendari,ID,-3.945,122.4989,81.59,86,96,1.86,overcast clouds
178,Beringovskiy,RU,63.05,179.3167,29.12,97,100,8.88,snow
179,Roald,NO,62.5833,6.1333,39.2,87,40,8.05,scattered clouds
180,Mago,RU,53.2514,140.1822,35.02,83,99,4.61,overcast clouds
181,Hithadhoo,MV,-0.6,73.0833,83.64,76,72,18.05,broken clouds
182,Marsa Matruh,EG,31.3525,27.2453,53.6,66,40,9.22,scattered clouds
183,Straumen,NO,63.8709,11.2999,39.2,75,75,19.57,moderate rain
184,Ancud,CL,-41.8697,-73.8203,55.99,94,90,2.3,overcast clouds
185,Pochutla,MX,15.7432,-96.4661,84.2,65,20,2.55,few clouds
186,Nanortalik,GL,60.1432,-45.2371,34.63,93,39,8.72,scattered clouds
187,Blackfoot,US,43.1905,-112.345,57.2,16,1,11.5,clear sky
188,Isangel,VU,-19.55,169.2667,82.4,83,90,9.13,very heavy rain
189,Srednekolymsk,RU,67.45,153.6833,4.89,80,14,10.94,few clouds
190,Voh,NC,-20.9667,164.7,73.51,85,100,6.44,overcast clouds
191,Mount Isa,AU,-20.7333,139.5,87.8,25,0,13.8,clear sky
192,Neuquen,AR,-38.9516,-68.0591,73.4,40,0,11.5,clear sky
193,Basoko,CD,1.2391,23.616,71.38,96,100,1.34,moderate rain
194,Illapel,CL,-31.6308,-71.1653,64.58,68,17,1.81,few clouds
195,Ponta Delgada,PT,37.7333,-25.6667,60.8,88,40,10.36,scattered clouds
196,Tasiilaq,GL,65.6145,-37.6368,30.2,93,90,4.61,overcast clouds
197,Hit,IQ,33.6416,42.8251,62.83,33,100,9.51,overcast clouds
198,Harlau,RO,47.4333,26.9,53.6,66,75,13.8,light rain
199,Komsomolskiy,UZ,40.4272,71.7189,33.8,64,0,4.61,clear sky
200,Bethel,US,41.3712,-73.414,37.0,70,21,5.01,few clouds
201,Lebu,CL,-37.6167,-73.65,55.96,90,29,13.06,scattered clouds
202,Prince Rupert,CA,54.3161,-130.3201,39.2,81,20,11.5,light snow
203,Kirakira,SB,-10.4544,161.9205,84.54,73,38,8.39,light rain
204,Kefamenanu,ID,-9.4467,124.4781,73.36,98,100,3.4,overcast clouds
205,Broome,US,42.2506,-75.833,28.99,86,90,12.66,light snow
206,Solnechnyy,RU,50.7214,136.6319,40.21,64,98,7.02,overcast clouds
207,Bathsheba,BB,13.2167,-59.5167,78.8,53,20,18.41,few clouds
208,Hervey Bay,AU,-25.2986,152.8535,75.99,70,39,8.99,scattered clouds
209,Pangai,TO,-19.8,-174.35,86.0,74,75,6.91,broken clouds
210,College,US,64.8569,-147.8028,10.0,61,90,12.66,light snow
211,Tiznit,MA,29.5833,-9.5,56.01,83,0,1.39,clear sky
212,Pevek,RU,69.7008,170.3133,-3.05,89,24,4.92,few clouds
213,Upernavik,GL,72.7868,-56.1549,2.64,95,100,23.29,snow
214,Vaini,TO,-21.2,-175.2,86.0,74,75,5.75,light rain
215,Qaanaaq,GL,77.484,-69.3632,5.92,96,100,2.71,overcast clouds
216,La Ronge,CA,55.1001,-105.2842,44.6,49,99,5.75,overcast clouds
217,Portobelo,PA,9.55,-79.65,81.0,76,100,16.49,overcast clouds
218,Quatre Cocos,MU,-20.2078,57.7625,75.2,100,75,1.14,light rain
219,Toamasina,MG,-18.1667,49.3833,80.6,83,75,9.22,light rain
220,Luderitz,NA,-26.6481,15.1594,67.86,63,0,10.6,clear sky
221,Lorengau,PG,-2.0226,147.2712,82.87,76,100,5.1,overcast clouds
222,Cabra,ES,37.4725,-4.4421,59.0,88,75,3.44,broken clouds
223,Laguna,US,38.421,-121.4238,78.8,19,1,5.75,clear sky
224,Nanakuli,US,21.3906,-158.1547,82.4,51,20,10.36,few clouds
225,Brae,GB,60.3964,-1.353,44.6,81,90,4.61,overcast clouds
226,Turan,VN,16.0678,108.2208,84.2,65,40,8.05,scattered clouds
